date,topic,source,headline,sentiment_score,relevance_score,is_real
2026-03-01,Grid Reliability,Power Magazine,"Tri-State's Vision for Lower Cost, Greater Efficiency About to Become Reality",0.067,0.86,True
2026-03-04,Coal Retirement,Reuters Energy,Tri-State Plans Managed Coal Plant Transition Through 2030,-0.082,0.54,False
2026-03-05,Renewable Energy,Social Media,Battery Storage Integration Advances at Tri-State Facilities,0.546,0.66,False
2026-03-08,Energy Transition,E&E News,Tri-State Announces New Solar Project in Eastern Colorado,0.008,0.9,False
2026-03-08,Renewable Energy,Casper Star-Tribune,Battery Storage Integration Advances at Tri-State Facilities,0.4,0.87,False
2026-03-08,Grid Reliability,E&E News,Wildfire Risk Drives Enhanced Vegetation Management Program,0.413,0.94,False
2026-03-12,Member Relations,Social Media,La Plata Electric Explores Partial Requirements Options,-0.2,0.72,False
2026-03-13,Grid Reliability,E&E News,New SCADA Systems Improve Real-time Grid Monitoring,-0.022,0.75,False
2026-03-17,Regulatory Compliance,Public Comment - FERC,Colorado Clean Energy Standards Tighten for Wholesale Providers,0.026,0.64,False
2026-03-18,Regulatory Compliance,Colorado Sun,Colorado sues to block Energy Department orders keeping Craig coal unit open,0.27,0.76,True
2026-03-19,Energy Transition,Public Comment - PUC,Clean Energy Shift Creates Job Transition Questions for Tri-State Workers,0.186,0.95,False
2026-03-19,Regulatory Compliance,RTO Insider,Petitions Filed to Overturn DOE's Craig Coal Plant Extension,0.016,0.85,True
2026-03-23,Energy Transition,E&E News,Western Cooperatives Face Challenges in Energy Transition Timeline,0.464,0.44,False
2026-03-26,Coal Retirement,Public Comment - PUC,Environmental Groups Praise Accelerated Coal Phase-out,0.087,0.81,False
2026-03-29,Energy Transition,RTO Insider,SPP RTO Expands into Western Interconnection April 1,0.068,0.88,True
2026-03-30,Coal Retirement,Colorado Sun,Life of coal burning Craig Unit 1 extended again by Trump administration,-0.033,0.75,True
2026-03-30,Rate Changes,Public Comment - FERC,Rate Restructuring Could Benefit Smaller Member Systems,-0.277,0.78,False
2026-03-30,Regulatory Compliance,RTO Insider,DOE Extends 202(c) Order for Craig Plant Days Before it Joins SPP RTO West,-0.04,0.91,True
2026-03-30,Community Impact,Public Comment - FERC,Rural Broadband Initiative Leverages Cooperative Infrastructure,0.467,0.9,False
